Time,II
0.0,0.004358510935442301
0.00025,0.00416761765672039
0.0005,0.0032452418125751992
0.00075,0.0017158989936851877
0.001,-1.1182414358449874e-05
0.00125,-0.0013977385347397587
0.0015,-0.0019825505342895102
0.00175,-0.0016970774825022118
0.002,-0.0009334584262163751
0.00225,-0.00027592117924412864
0.0025,-0.00010108493150378589
0.00275,-0.00036196688175651776
0.003,-0.0007214648369317427
0.00325,-0.0008649148960698629
0.0035,-0.0007226190710057917
0.00375,-0.0004322885984654758
0.004,-0.00016944732263899994
0.00425,-1.9920592042525775e-05
0.0045,3.4896446144714684e-05
0.00475,5.3152463385067034e-05
0.005,7.626686675207292e-05
0.00525,0.00010946209270209375
0.0055,0.00012616201451501555
0.00575,8.996371619315233e-05
0.006,7.599543010938517e-07
0.00625,-7.726519016064115e-05
0.0065,-4.4054603532725365e-05
0.00675,0.00015222574335683293
0.007,0.00044851893393680286
0.00725,0.0006957977802391907
0.0075,0.0007746326304129167
0.00775,0.0006952812501051025
0.008,0.0005709917858847742
0.00825,0.000531719911858375
0.0085,0.0006251805736646035
0.00875,0.0008016964556157483
0.009,0.0009750951763402927
0.00925,0.0011006017413533408
0.0095,0.0011852698353463206
0.00975,0.0012525308846089555
0.01,0.0013211525944988364
0.01025,0.0013942463562633264
0.0105,0.001453715741705404
0.01075,0.0014721216855737016
0.011,0.0014360227656380212
0.01125,0.0013807080979764224
0.0115,0.0013617853892030872
0.01175,0.0014299135024772322
0.012,0.0015535789860223268
0.01225,0.0016477278933808913
0.0125,0.0016397675545247396
0.01275,0.0015140304049640941
0.013,0.001347621975454066
0.01325,0.0012147109486794786
0.0135,0.0011519045196836104
0.01375,0.0011354681675673059
0.014,0.001111907762023781
0.01425,0.0010551577792105424
0.0145,0.0009721049262125717
0.01475,0.0008804337215978294
0.015,0.0007986512731474655
0.01525,0.0007365611561086856
0.0155,0.0006739176796213127
0.01575,0.000583879277360521
0.016,0.00045921392441851584
0.01625,0.0003125744590491077
0.0165,0.00019583872812900288
0.01675,0.0001550241583712365
0.017,0.00018147045097151088
0.01725,0.00021698382983890437
0.0175,0.0001980623716097118
0.01775,0.00010861317128270476
0.018,-1.0668563511397365e-05
0.01825,-0.00010156894275865654
0.0185,-0.00013639760620453895
0.01875,-0.000132125698565205
0.019,-0.00012347619872312215
0.01925,-0.0001321912373856087
0.0195,-0.00015552366576880374
0.01975,-0.00017588652837427528
0.02,-0.00017797428667140904
0.02025,-0.00015878196710832881
0.0205,-0.00013440503063812326
0.02075,-0.0001319545553933502
0.021,-0.00016898090405743427
0.02125,-0.00023391985271295772
0.0215,-0.0002830845049355478
0.02175,-0.00027553728465195464
0.022,-0.00020862790277417626
0.02225,-0.0001262779848165601
0.0225,-8.359859912713132e-05
0.02275,-0.00010118550154992185
0.023,-0.00015093527444660665
0.02325,-0.00018681570975782072
0.0235,-0.00018451132376060103
0.02375,-0.000154843799457925
0.024,-0.00012599076344602103
0.02425,-0.00011423354020811437
0.0245,-0.00011418822873993198
0.02475,-0.00010668437825947017
0.025,-7.440295902412336e-05
0.02525,-1.26783786194946e-05
0.0255,6.295568850863946e-05
0.02575,0.00012300357626413464
0.026,0.00014493353636411483
0.02625,0.00013586065413024651
0.0265,0.00013501680861466528
0.02675,0.00018708133310572315
0.027,0.00030405746936239616
0.02725,0.000451647336547855
0.0275,0.0005787058180298217
0.02775,0.0006579871340080349
0.028,0.000703578615703048
0.02825,0.0007517905250057825
0.0285,0.0008220148716342002
0.02875,0.0008925927185269288
0.029,0.00094243319827345
0.02925,0.0009510319940392669
0.0295,0.0009276504415324586
0.02975,0.0009005040123432446
0.03,0.0008895860742028922
0.03025,0.0009011308314544717
0.0305,0.0009217063952389408
0.03075,0.0009059628582733335
0.031,0.0008196345084204109
0.03125,0.0006669794137964908
0.0315,0.00048597435610572777
0.03175,0.00034273500528402473
0.032,0.00027231453504850844
0.03225,0.00025634258600158076
0.0325,0.0002506300008199894
0.03275,0.00022273526464848748
0.033,0.00017389977931649898
0.03325,0.00012485314694628228
0.0335,8.387936991861614e-05
0.03375,3.4232506580919e-05
0.034,-4.9049146790556284e-05
0.03425,-0.00017355952689188017
0.0345,-0.00031959726147472335
0.03475,-0.00045012475275179925
0.035,-0.000527962492999017
0.03525,-0.0005353011515367791
0.0355,-0.0004980813451946741
0.03575,-0.0004549263207726426
0.036,-0.00043739395342767113
0.03625,-0.0004068106703967187
0.0365,-0.00022649929889637446
0.03675,0.00024341453254930808
0.037,0.001065124130057581
0.03725,0.0021477546752006606
0.0375,0.0032699410494439547
0.03775,0.004120442225628231
0.038,0.004492114787738049
0.03825,0.0042523673947003114
0.0385,0.00347040342308248
0.03875,0.0023951199110827377
0.039,0.0012789716949921002
0.03925,0.00033965307491500544
0.0395,-0.00031243997802134286
0.03975,-0.0006776753569257966
0.04,-0.0008309114709459504
0.04025,-0.0008552217075435996
0.0405,-0.0008415312688535723
0.04075,-0.0008244811441219529
0.041,-0.0008014964253854611
0.04125,-0.0007397886309290311
0.0415,-0.0006166310740996389
0.04175,-0.000429068293344279
0.042,-0.00019926360932249055
0.04225,1.855691985194527e-05
0.0425,0.00015614035806038807
0.04275,0.00017995840344917188
0.043,0.00011329786015120768
0.04325,1.7085436922239352e-05
0.0435,-5.0642287951833426e-05
0.04375,-6.170247861186222e-05
0.044,-1.5082297742263794e-05
0.04425,7.822472321402091e-05
0.0445,0.0002014061181080096
0.04475,0.00033331641126217645
0.045,0.00045145096966658167
0.04525,0.0005370544437937115
0.0455,0.0005860833246367486
0.04575,0.0005958215555406589
0.046,0.0005778212840278444
0.04625,0.0005571447963551845
0.0465,0.0005856374917641053
0.04675,0.0006949528592935035
0.047,0.0008852403329572916
0.04725,0.0011088541558640509
0.0475,0.001283954107058663
0.04775,0.001363144543186183
0.048,0.001356707497565196
0.04825,0.00131815996493423
0.0485,0.0012988929400994027
0.04875,0.0013280593295998497
0.049,0.0013937340365922071
0.04925,0.001481455084595979
0.0495,0.0015734107896094656
0.04975,0.0016485939386771701
0.05,0.001704524254017639
0.05025,0.0017280257246530897
0.0505,0.0017167807289380382
0.05075,0.0016614543223912967
0.051,0.0015599728387931655
0.05125,0.0014246067006150926
0.0515,0.0013010145405601286
0.05175,0.0012492647560610121
0.052,0.0012819865694897732
0.05225,0.0013540943945628684
0.0525,0.0013879938062108885
0.05275,0.0013248141525678968
0.053,0.0011684031373868397
0.05325,0.0009739619422044117
0.0535,0.0008051120938080302
0.05375,0.0006897309130208619
0.054,0.0006212775339291664
0.05425,0.0005860108651937247
0.0545,0.0005549163179988806
0.05475,0.0005319231564125036
0.055,0.0005025840386537894
0.05525,0.00047346684850598083
0.0555,0.0004353789793604866
0.05575,0.00036970334309063265
0.056,0.00025586033175994743
0.05625,9.96816598140282e-05
0.0565,-4.4974694594528263e-05
0.05675,-0.00010398662396905685
0.057,-3.9804148190532986e-05
0.05725,0.00010269432208233033
0.0575,0.00022289375151129294
0.05775,0.0002371278405034397
0.058,0.00013920750476334215
0.05825,-6.442210538323075e-06
0.0585,-0.00012315219659009462
0.05875,-0.00017345308204572352
0.059,-0.00016554521209530732
0.05925,-0.00012789827033950798
0.0595,-8.340583976099488e-05
0.05975,-4.267434099361977e-05
0.06,-2.6423935997353805e-06
0.06025,4.437247588434648e-05
0.0605,9.148001280773529e-05
0.06075,0.00010419145791469376
0.061,3.610760559427652e-05
0.06125,-0.00012202643072123327
0.0615,-0.0002981677303371288
0.06175,-0.0003694926684293448
0.062,-0.0002560580737802289
0.06225,-3.872567914454261e-06
0.0625,0.00023612234020502635
0.06275,0.00032086607482921986
0.063,0.000222619469527925
0.06325,3.526400311681685e-05
0.0635,-0.00011414963833898019
0.06375,-0.00015628724588990597
0.064,-0.00010054922267322382
0.06425,3.637376355384106e-06
0.0645,0.0001141634752943497
0.06475,0.00021765415916831754
0.065,0.00033289964901411654
0.06525,0.0004914283974541425
0.0655,0.0006977734456647091
0.06575,0.0008735448469981462
0.066,0.0008761303788310998
0.06625,0.0006256263175284865
0.0665,0.0002479607470506855
0.06675,5.3603999801176245e-05
0.067,0.0003253827377664186
0.06725,0.0010471099364329462
0.0675,0.0018251526965238607
0.06775,0.002162970908387253
0.068,0.0018275392516176228
0.06825,0.0010339550998457229
0.0685,0.00026227116914705645
0.06875,-7.081397205111647e-05
0.069,0.00014412032187217938
0.06925,0.00073732324350127
